Texto;Etiquetado
el sabado cae 10;Neutro
Tu puedes 🙌 concentrate a mil y muchos exitos 💕;Positivo
Tu puedes crack👏;Positivo
��👏👏🔝;Positivo
exitos 😘;Positivo
Vamos Fabian...!!! El equipo UPN esta contigo;Positivo
��💪😎😎👏;Positivo
Me encantan los Panamericanos..no quiero que se acaben....estoy viendo fomo Peru gana el oro en Kata!!!VAMOS UPN..con su representante...Nuestro Representante!!! 🙌;Positivo
Vamos Fabian!!! #VamosPeru💪 #VamosUPN👏;Positivo
Buenas vibras!!!!;Positivo
Señores upn mas respeto para sus alumnos, los alumnos de derecho nos sentimos burlados por parte de ustedes, ya que hasta la fecha no tenemos coordinador y la respuesta de algunos colaboradores de la u soy irrisorias;Negativo
��🔥;Positivo
@valeriasolang y que la pension siga aumentamdo🙂;Negativo
@conny20_gomez @ronaldchambila @antu.haru23.hca @cruzpolicarpoveronica @olenka.ramcab Chicos🙌🙌🙌🙌;Positivo
@marketing.creator q raro porq arquitectura si se puede hacer intercambio academico es muy raro lq menciones yo q sepa puedes hacer intercambio y doble titulacion de todas las carreras ........;Neutro
@gabydelpilar3 Claro la acreditacion CINDA respalda a los alumnos para el intercambio internacional y doble titulacion como lo mencionas eso esta bien y SINAES es quien acredita la carrera que estas llevando sea: arquitectura, ingieneria,etc.esta acreditacion certifica la formacion de calidad al culminar la carrera y respaldado por el Estado, seria bueno que tambien busquen esa acreditacion para todas las carreras.;Neutro
CINDA solo acredita que los alumnos pueden participar en los programas de intercambio de un semestre a universidades latinoamericanas, seria importante que acrediten las carreras profesionales que  ofrecen tambien, puesto que con ello nos aseguramos que la carrera elegida tenga el respaldo del Estado Peruano y la garantia de que la formacion es de calidad, asi los egresados tengan la preferencia a la hora de insertarnos al ambito laboral culminada su carrera .  Atte: Estudiante de Administracion y Marketing. Sede Sjl que por cierto carrera que no esta acreditada por SINAES.;Neutro
La upn sera vendida?;Negativo
UPN es un excelente casa de estudios que se preocupan;Positivo
@raquel.ifo gracias amiga 🤗;Positivo
@maitezr  te Vi felicidades amiga por tu logro.;Positivo
Deberian acreditar las carreras;Negativo
Ya pero nos venderan?;Negativo
Y la acreditacion de las carreras para cuando?;Negativo
Orgulloso 💯;Positivo
��🏆🏆💪💪😍😍😍🙌🙌🙌;Positivo
Excelente 🔥;Positivo
Nos van a vender 😣??;Negativo
��😍😍😍😍😍😍😍🔥🔥🔥👏👏👏👏;Positivo
��;Positivo
Eliminen los virtuales;Negativo
Te escogi como primera opcion para mi  educacion, y ahora solo siento indignacion.;Negativo
Si la upc no ne representa que mal @upcedu  @generacion_upc;Negativo
Tarde;Negativo
Ten empatia, escucha a tu alumnado, haz algo, fomenta aquellos valores anclados al progreso de los que tanto hablan en sus cursos, exigete como exiges a tu alumnado, innova por ti misma, UPC;Negativo
@upcedu;Negativo
Por este y mas motivos es que en cada encuesta coloco que jamas recomendaria UPC!;Negativo
Tu hermana @upn  ya suspendio 2 dias 😃😃😃 que estas esperando ???!!!!;Negativo
-->Se recolecto firmas para que la UPC se pronuncie;Negativo
Aplacen las clases 😏;Negativo
��🏻👎🏻👎🏻👎🏻👎🏻;Negativo
En otras palabras: no abran mas universidades para tener mas alumnos y mas plata v:;Negativo
Que falta de empatia hacia las personas que estan protestando por los derechos de todos. No tienen consideracion alguna...;Negativo
Por que son tan inconscientes ?! Hasta la UPN APLAZo LAS CLASES POR QUe NO LA UPC?!!!!;Negativo
Decepcionante.;Negativo
Siento opresion y falta de  coherencia en el discurso que suele ofrecer mi universidad. Por un lado, dicen estar a favor del desarrollo del pais, de la libertad de expresion, y por otro lado, emiten un pronunciamiento super tardio que una vez mas ignora a su propia comunidad estudiantil que les solicita mayor comprension y representacion. Estamos estudiando mientras nuestros amigos estan arriesgando su vida por nuestro pais. No nos escuchan, y con ello nos hacen sentir como simples maquinas de consumo. Retractate UPC, muestra interes y solidaridad por lo que ocurre en nuestro pais. Nos duele tu indiferencia. No merecemos esa representacion....APoYANOS, para poder apoyar mas.;Negativo
VERGÜENZA;Negativo
��🤡🤡🤡🤡🤡🤡;Negativo
TARDE !;Negativo
"Deberia ser ""Respuesta a la opinion publica"", porque se pronuncian despues de las criticas.";Negativo
Babosos;Negativo
Ah pero para cobrar!!;Negativo
Pfff porfin un poco mas pedian invitacion;Negativo
Zzzzzzz;Negativo
Que o sea si habra clase? Csm;Negativo
UPC DOS DIAS NO ES SUFICIENTE PARA PROCESAR DOS MUERTES, 40 DESAPARECIDOS Y UNA CRISIS NACIONAL!!!! ENTIENDE QUE ESTO NOS AFECTA NO SOLO PSICOLoGICAMENTE SINO TAMBIEN FiSICAMENTE, NO PUEDO SER INDIFERENTE A MI PAiS Y A MIS HERMANXS;Negativo
Ya era hora :/;Negativo
LLEGAN AL PINCHO @upcedu @generacion_upc ¿POR QUe NO SE COMPORTAN COMO UNA UNIVERSIDAD DE VERDAD?;Negativo
TARDE y encima TIBIOS , que vergüenza UPC;Negativo
Pronunciandose tarde tal cual las ratas del gobierno 🤡🤡🤡 tan en nada;Negativo
Les chupa un huevo;Negativo
Muy tarde ! Ya hablan cuando esta todo casi consumado y el GOLPISTA renuncio. Les falta mas valor y empatia;Negativo
#upcbrillasportuausencia;Neutro
Muy tarde;Negativo
Cuando demuestran que sus fines SI SON LUCRATIVOS.;Negativo
Tibios !;Negativo
#UPCAPLACENESTASEMANA;Neutro
No respaldas en nada!!!;Negativo
Upc, exigete, innova? Ahhh, si, EXIGEN QUE PAGUEMOS AL DiA e INNOVAN con los tremendos aumentos en las pensiones cada año. Gracias por nada 👎🏼 me avergüenzan.;Negativo
CEROOOO EMPATiA ‼️‼️‼️‼️;Negativo
Un monton de texto sin un mensaje claro;Negativo
Que tibia fuiste UPC!!;Negativo
Ese texto no dice nada señores, cuando sacan un comunicado pronunciandose por las denuncia de acoso a sus profesores? 👀;Negativo
Dos dias de “luto”, ustedes son una vergüenza.;Negativo
Ya pero cual es tu postura? Donde estan tus disculpas por no haberte pronunciado todos estos dias? Vergüenza.;Negativo
��🤣🤣🤣🤣🤣;Positivo
Se pasaron como van a subir las pensiones de verano con todo lo ocurrido , nadie dice que la bajen pero tengan consideracion y dejenla como estaba siquiera;Negativo
Por fin hablaron, mudos;Negativo
Saben si habra descuento en pensiones por el estado de emergencia?;Negativo
Golpistas;Negativo
como todas las universidades privadas, estan detras de la plata, es lo unico que les interesa, no les interesa los alumnos ni los trabajadores. SON UNA VERGUENZA;Negativo
@upcedu y para variar de lo peor tu contacto Web y todos los canales de atencion, que pesimo servicio;Negativo
UPC NO ME REPRESENTAS;Negativo
Un texto que no dice nada.;Negativo
No me representas;Negativo
esto es algun tipo de marketing o que? pesimo;Negativo
�� deberia dudar?;Negativo
��🤡🤡;Negativo
Demasiado tarde, poca empatia, tibios como siempre.;Negativo
Cuando ya se murieron dos jovenes recien aparecen;Negativo
"Tibia como siempre
HAY ALUMNOS DESAPARECIDOS CARAJO Y USTEDES COMO SI NADA";Negativo
Como que un poco tarde no? Por que no siguen el ejemplo de la @pucp o @udepiura en suspender las clases por esta semana? Se hizo para el mundial y con mayor, se deberia hacer ahora! Un poco mas de empatia, por favor.;Negativo
MUY TARDE! Ahora se suben al coche? QUE DECEPCIoN!;Negativo
"Que vergüenza estudiar en la UPC, una ""universidad"" que dice formar lideres para la sociedad y no se involucra con la sociedad peruana pese a la crisis que estamos viviendo. Esta no es una universidad es una empresa que solo piensa en lucrar.";Negativo
Un mensaje que no demuestra nada ! Lastima Upc;Negativo
RECIeN? CUANDO YA HAY 2 MUERTOS. ME DA VERGÜENZA SER ALUMNA. ESTE PAiS NO NECESITA MaS TIBIOS;Negativo
Vergüenza de comunicado. 🤡;Negativo
Decepcionada de mi universidad 😭💔;Negativo
@gabylopez0704 #UPCbrillasportuausencia #upcmedueles;Neutro
Pero pra emitir avisos amenazantes de expulsion y sancion segun el bendito reglamento, para eso si no les tiembla la mano verdad? Quienes son los que tipean esto?  Hablar contra las autoridades da tanto miedo? Debe ser, ruego a Dios, que cuando llegue mi hora de hablar contra los contratistas corruptos, no me tiemble la voz ni la voluntad;Negativo
QUe FaCIL ES PRONUNCIARSE AHORITA NO? Les tomo DOS VIDAS, DECENAS DE HERIDOS Y DESPARECIDOS. Como pueden formar a gente!??! Aprendan de la @pucp que desde el DiA UNO SE MANIFESTo. Tibios.;Negativo
UPC TE VAS EN FLORO Y PALABRAS VACiAS.;Negativo
@karlas.diary1 🤬😤;Negativo
Ese anuncio esta mas vacio que nuestro trabajo 😠 @lio_oms;Negativo
Qu texto tan tibio! Que vergüenza para pronunciarse ante estas situaciones, pero para cobrar al toque lo hacen.  Vergüenza de ser egresada;Negativo
Me decepcionas UPC!!;Negativo
Mas frio que los textos de mi ex #upcbrillasportuausencia;Negativo
Deberian dar minimo 1 semana, muchos estamos protestando y necesitamos ese tiempo;Negativo
Tu comunicado no me dice NADA;Negativo
Decepcionada ‼️‼️‼️;Negativo
Lo que debieron manifestar es el respaldo a sus alumnos que han tenido el valor de salir a las calles a luchar x sus ideas y defender al pais;Negativo
Por que estan expulsando a los alumnos que dan su opinion/indignacion acerca de lo que esta pasando en nuestro pais??? No hay libertad de libre expresion para ellos! UPC, UNIVERSIDAD QUE VIOLA LOS DERECHOS ‼️‼️‼️;Negativo
"Insensibles. Este comunicado no muestra nada! Que vergüenza. Mucho que aprender de la @pucp
Muy triste que mi casa de estudio tenga una actitud tan deplorable.";Negativo
#upcbrillasportuausencia;Neutro
#tibios;Neutro
En pocas palabras, sigue estudiando, paganos y no jodas.;Negativo
Horrible que no apoyen a SUS estudiantes que han ido a marchar!!! Porque sera no???...;Negativo
Para opiniones, tarde, para cobrar, rapiditos! @upcedu;Negativo
No dice nada tu mensaje 👌🏽;Negativo
Recien?????;Negativo
Tibios;Negativo
"Antero dijo que no sabia nada, ustedes al parecer, tampoco.
Que gran manera de lavarse las manos UPC";Negativo
��🏻👎🏻👎🏻👎🏻👎🏻;Negativo
He tenido que firmar una peticion para que la universidad se pueda pronunciar y aun asi que ajena se siente a todo lo que esta pasando el pais. Deja mucho deja mucho que desear de sus directivos que al parecer viven en una realidad distinta. Nisiquiera como parte de la comunidad universitaria. Pena de pertenecer a una institucion asi.;Negativo
xd;Neutro
#laupcnomerepresenta;Neutro
Me parece incoherente, si no comprenden que los jovenes, a los cuales forma con pensamiento critico han puesto su valentia y dignidad como importantes, y ahora no quieren entender que algunas tareas academicas no han podido culminarlas. El doble discurso solo demuestra que no vamos bien como sociedad;Negativo
Mucho floro, poco aportex2;Negativo
Meh...que triste esto.;Negativo
@upcedu no me representas;Negativo
@generacion_upc no me representas;Negativo
Y la empatia? Se pueden preocupar por una vez por la salud mental de sus alumnos?;Negativo
Decepcionante.;Negativo
Vayanse a la mierda;Negativo
Claro, pero si pueden cancelar clases cuando hay partidos de futbol “importantes”. ESTO ES REALMENTE IMPORTANTE!!!;Negativo
Tibios;Negativo
no me representan;Negativo
Empresa de mr-d;Negativo
Y donde estuviste cuando todo quemaba? Demasiado tarde UPC, podras ser el alma mater de muchos pero decepciones. Tibios;Negativo
��👎👎👎👎;Negativo
��‍♀️;Negativo
Y cuando fue el Mundial si suspendian clases no??;Negativo
PETICIoN PARA QUE LAS CLASES SE APLACEN 👉https://docs.google.com/forms/d/e/1FAIpQLSd4TETGB8OqHof1wbATl01CfHDXRmqWAyvlUx_fnsF_XRqD-Q/viewform;Neutro
#decepcionupc demasiado tarde!!!;Negativo
UNA UNIVERSIDAD DONDE PREFIERE CANCELAR CLASES POR PARTIDOS DE FuTBOL.;Negativo
Donde estuvieron hace 7 meses ?;Negativo
MUY TARDE!;Negativo
Luego sigue la UPC ,esperen nomas luego les toca a uds;Negativo
LADRONES HSDP;Negativo
Ya es tarde UPC... 5 dias tarde;Negativo
Gracias por nada;Negativo
��🥑🥑🥑🥑🥑🥑;Negativo
Aplacen las clases! Es imposible concentrarse ahora;Negativo
Para nada empaticos.;Negativo
Hagan algo de verdad, tibios;Negativo
Hizo falta muertes para que se pronuncien, no son mas que una EMPRESA del monton que solo vela por sus intereses. No les importan sus alumnos, solo sus bolsillos. Despreciables.;Negativo
@__valeryc__ totalmente de acuerdo, un texto vacio 👎👎👎;Negativo
Un comunicado donde no dice nada y todavia es publicado tarde. Gracias upc por ser unos tibios.;Negativo
Muy tarde;Negativo
A lo lejos se ve y se siente su indiferencia!!!;Negativo
"O sea... cancelaron casi todas las clases cuando Peru jugo en el mundial Y EN PLEA CATaSTROFE NACIONAL dan un comunicado que no muestra empatia con nosotros? 
Gracias por nada.";Negativo
Cuando el barco ya esta hundido y cuando todos los medios lo estan cubriendo, llega con demora este tibio comunicado;Negativo
Donde esta la empatia por sus alumnos??;Negativo
Tibio;Negativo
Tibias de mierda;Negativo
Insensibles;Negativo
Su comunicado me decepciona.;Negativo
"FLORO MONSEE! 

#vergüenzaupc";Negativo
triste;Negativo
ASi COMO ME COBRAS 3000 Lucas por un curso dejame protestar por mis derechos.;Negativo
Mejor no digan nada;Negativo
#UPCnoMeRepresentas;Neutro
Pa eso???;Negativo
No me siento representada por mi universidad, hablas demasiado tarde solo te sumas cuando merino ha renunciado. Un Asco tus principios democraticos.;Negativo
A los que se encargan de atencion psicopedagogica en la u ¿Podrian informar a los responsables del comunicado como la coyuntura actual afecta a sus alumnos? digo porque parece que las autoridades pertinentes no tienen en cuenta la relacion entre la situacion actual y las emociones que trae consigo esto, indignante;Negativo
"Hagamos una cadena de ""ese chico pude ser yo"", a ver si ablanda lo que llaman corazon";Negativo
Indignante! Cuanta hipocresia en este texto! Ese chico pude ser yo, si morimos no vas a tener nuestro dinero, ya que es lo unico que te preocupa.;Negativo
¿Como se supone que terminemos clases con sus altos estandares academicos en medio de una crisis que nos angustia a todos? ¿Es tan terrible aplazar unos dias el ciclo para brindar un espacio para protestar y expresarnos?;Negativo
Tibios🥑;Negativo
QUE ASCO!;Negativo
Solo les estamos pidiendo unos dias para las entregas, estamos luchando pra que ustedes tengan tranquilidad tambien!;Negativo
Se necesita un apoyo mas real @upcedu. Mire a sus alumnos que luchan por la democracia. Su respaldo es importante en esta coyuntura....;Negativo
Hay que salir a marchar.... Vamos upc respalda a tus alumnos, muchos de nosotros esta saliendo a marchar;Negativo
Que bueno que no pertenezco a esa cagada de universidad;Negativo
��;Negativo
COMO SIEMPRE TARDE Y CON MUCHA CARENCIA DE EMPATiA @upcedu;Negativo
Mucho texto;Negativo
oportunistas;Negativo
tienen que morir hermanos peruanos para que manden un “comunicado”?;Negativo
Las palabras necesitan ser acompañada de acciones !!!;Negativo
Son una verdadera m-rd;Negativo
No valen nada en serio;Negativo
Solo les interesa el dinero;Negativo
Lastima das UPC, que pena que te hagas de la vista gorda por tus intereses personales y economicos. Me siento avergonzada de mi casa de estudios. Muy tarde!;Negativo
Pospongan clases;Negativo
Aplacen las clases si igual pagamos diciembre;Negativo
Tu comunicado de mr-d no dice nada;Negativo
Muy tarde upc;Negativo
Mi universidad es una decepcion😪. Que triste su falta de empatia ante esta situacion.;Negativo
Un poco tarde ...;Negativo
Mejor no hagan ningun comunicado;Negativo
Algo tarde manitos!;Negativo
Tarde!;Negativo
Que vergüenza me das @upcedu todo lo que dices YA SABEMOS, tibios, nunca hacen nada y si lo haces es tarde y asi que caso tiene? Que vergüenza me da esta empresa.;Negativo
"Hay gente desaparecida que forma parte de nuestra comunidad universitaria y solo envian ""buenos animos y apoyo"", tibio UPC";Negativo
Pecho frio;Negativo
Dan asco;Negativo
La educacion superior esta de luto. No seas indiferente, upc.;Negativo
Disculpen la inconveniencia, estamos manifestandonos por nuestros derechos como ciudadanos peruanos. Solicitamos que se aplacen las clases y los examenes finales por una semana.;Negativo
Lo unico que hacen es cambiarle el color al loguito y pretender que ya hicieron suficiente. La indiferencia que muestran es INCREiBLE!!! Vergüenza su falta de empatia;Negativo
Pospongan sus clases!! Como alumna PUCP mi universidad se preocupa por la salud mental de los alumnos y dio paso al paro universitario, si les importa un poco la salud mental de sus alumnos y velan por fomentar la reflexion y la lucha por los derechos den paso al paro universitario!! No sean indiferentes, no ignoren a sus alumnos.;Negativo
Una empresa mas que no hizo nada por el Peru ni su poblacion;Negativo
Decepcionada de mi alma mater;Negativo
TUVIERON QUE MORIR 2 DE LOS NUESTROS para que te pronunciaras! QUE ASCO;Negativo
UPC estos jovenes heroes tienen nombre y se llaman Inti Sotelo Camargo  y Jack Bryan Pintado Sanchez!;Negativo
@upcedu PALTEAS 🤮;Negativo
Escuchen a sus alumnos, estamos saliendo q marchar por nuestro pais! Mayor consideracion @upcedu . Aplacen las clases !!;Negativo
��🥑;Negativo
HORRIBLE;Negativo
Estuve resolviendo 2 examenes de mierda, con mi estabilidad mental por suelo, mientras asesinaban a mis hermanos que salieron a marchar POR MI. Y recien te pronuncias?;Negativo
@upcedu si estas a favor de la democracia , danos la facilidad para ejercer nuestro derecho de protesta en este tiempos tan turbios;Negativo
TIBIOS;Negativo
Buen mensaje pero y si piensan ayudar a los estudiantes que fueron a manisfestarse? Ellos tambien son parte de la UPC, ya sean los de parte de la brigada, manisfestantes virtuales y fisicos;Negativo
Puro texto🤡🤡🤡🤡;Negativo
No dicen nada especifico. Frio de frios, tardones e insensibles con el sentir de sus estudiantes. UPC no me representas.;Negativo
Pa eso mejor no publiquen ni mrd;Negativo
Mejor no publicaban nada;Negativo
Suspendan clases;Negativo
DEMASIADO TARDE UPC, MUUUUY TARDE. Que lastima.;Negativo
Son puro texto;Negativo
Pospongan las clases, lo exigimos, hoy uno de nosotros no regreso a casa 🇵🇪;Negativo
¿Es en serio? Esta pronunciacion vale lo mismo a no haberlo hecho.;Negativo
@upcedu  oe que fue manin para un partidito haces que falten todos y por dos muertos no haces ni una vigila y eso que uno de ellos es alumno suyo que pena das upc dios cuanto te habran pagado para que te calles y calles a tu alumnado pena das;Negativo
Sinceramente UPC me siento indignado ya que mi universidad, mi alma mater no tomo una postura a diferencia de otras universidades, desde el comienzo se necesito el respaldo, el apoyo, sin embargo no sucedio nada. 😢😢;Negativo
Este comunicado es un saludo a la bandera. Que vergüenza;Negativo
Asco dan!!!!;Negativo
@vana13a la UPC no me representa;Negativo
@lesly.lr  la UPC opina tarde que tristeza ...;Negativo
UN TEXTO QUE ME DA VERGÜENZA. UPC NO ME REPRESENTAS. COMO PUEDEN SER TAN INDIFERENTES. Los alumnos que tienen estan luchando por su pais y ustedes solo escriben una webada que no tiene nada de valor. ESTAMOS HARTOS.;Negativo
Soy egresada de UPC pero para tibio mi te.;Negativo
Hay estudiantes de su universidad desaparecidos. Por favor mas solidaridad con ellos, con los estudiantes heridos hospitalizados y con todos los que aun seguimos saliendo a la calle.;Negativo
Me deja un sin sabor este comunicado... no dice nada son palabras sin fondo... Mi Alma Mater y todo, pero para estas cosas se quedan muy cortos... demasiado tarde la pronunciacion ... 😐;Negativo
Mucho texto;Negativo
@franco.isa JAJAJAA ME CAGASTE MANO;Neutro
Q bueno q ya no estudio en esa basuraa😂;Negativo
SUS ALUMNOS DE EXPONEN EN LAS MARCHAS, POR ELLO NO PUEDEN ENTREGAR TRABAJOS, O NO SE ENCUENTRAN EN LAS CONDICIONES PARA REALIZARLOS. NO SUSPENDEN LAS CLASES UNA SEMANA POR ELLOS, AL PARECER SOLO LOS VEN COMO INGRESOS Y NO COMO CUIDADANOS.;Negativo
Muy tarde @upcedu;Negativo
4 DIAS MUY TARDEEEEEEEEEE;Negativo
Sean empaticos con el cobro de las pensiones en ya coyuntura tan dificil.;Negativo
Vergüenza;Negativo
��;Negativo
"COMO OTRAS UNIVERSIDADES POSPONEN CLASES!!!AL MENOS 1 SEMANA Y SE COMIENZA EL 23 . HAGAN ALGO. Salimos a marchar para el pais y no hay apoyo!!! No tenemos mentalidad en estos momentos de hacer trabajos. 
Siempre tarde UPC.";Negativo
CREO QUE TU MENSAJE NEUTRAL NO ES LO QUE ENSEÑAS UPC! Nos formas para ir encontra del sistema y eres indiferente! Siguen las clases como si nada mientras que nuestros compatriotas y compañeros salimos a las calles!!;Negativo
UN TEXTO QUE NO DICE NADA. X2;Negativo
��🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡;Negativo
"Upc no me representas!
Suspende las clases para ir a dar mi tiempo a mi patria y no estar esperando dar un control calificado! 🇵🇪 ⚫️⚪️⚫️";Negativo
DEMAAIADO TARDEEEE;Negativo
